Optimization type,Temperature_[K],kij,MARD_percentage
distance,115.0,-0.01072369671792586,0.19315372313064844
distance,121.15,-0.014240179385817111,0.19601137477861913
distance,90.5,-0.004416394737222193,0.09992945930216897
distance,100.0579,-0.0051943477639042526,0.09423340849525284
distance,110.0,-0.006222932492464508,0.09217899267970761
chemical potential,115.0,-0.008798136352134675,0.11763681870055054
chemical potential,121.15,-0.012807022231052668,0.07965183348641396
chemical potential,90.5,-0.006697626970069859,0.12962279889340103
chemical potential,100.0579,-0.0054695198234148085,0.0414277616618941
chemical potential,110.0,-0.005964676798598894,0.07771730481517247
pressure,115.0,-0.010514619537906921,0.355872855401814
pressure,121.15,-0.014332547113957074,0.3378736982730893
pressure,90.5,-0.004918536533402047,0.2854509409688728
pressure,100.0579,-0.005339455359821515,0.1852726014709932
pressure,110.0,-0.0062560193787273444,0.174546479451639
