Optimization type,Temperature_[K],kij,MARD_percentage
distance,258.0534,-0.2975898465783373,17.123292837641486
distance,273.1,-0.15313849164533305,0.2812350488373194
distance,243.0564,-0.09484698669623685,13.074643884723509
chemical potential,258.0534,-0.3060123844516104,10.007992391198444
chemical potential,273.1,-0.3489361855129565,3.6295383841767004
chemical potential,243.0564,-0.05111612114292236,20.018514475429416
pressure,258.0534,-0.2975898465783373,17.123292837641486
pressure,273.1,-0.3500812783334035,7.137437910581197
pressure,243.0564,-0.09484698669623685,13.074643884723509
