Optimization type,Temperature_[K],kij,MARD_percentage
distance,100.0,-0.04642069828031453,0.3302903807460887
distance,104.1198,-0.05080303189031429,1.4256240078415197
distance,111.4713,-0.0862471230582406,1.4743771673823818
distance,122.7433,-0.08838213097592879,1.0769952265279914
distance,134.924,-0.09005434673994156,0.599587075356606
distance,141.434,-0.030552965605935564,0.14350290909953453
chemical potential,100.0,-0.012497650259531855,0.6407932666613132
chemical potential,104.1198,-0.0003646138889169523,1.6971246999282632
chemical potential,111.4713,-0.024521801358607036,1.1017737169800306
chemical potential,122.7433,-0.053280078076735744,0.8159278562636438
chemical potential,134.924,-0.05368191198836245,0.3180412387212156
chemical potential,141.434,-0.013771603882047196,0.2115118205780836
pressure,100.0,-0.015717198530400482,4.054064243432803
pressure,104.1198,-0.026014578273473008,8.792216380733406
pressure,111.4713,-0.05361670945831079,10.456008651208823
pressure,122.7433,-0.05794142701194112,5.312804324643525
pressure,134.924,nan,nan
pressure,141.434,-0.022933222646848283,1.3511563512295077
