Optimization type,Temperature_[K],kij,MARD_percentage
distance,220.0,-0.055121354250241894,0.796655076701547
distance,250.0,-0.06834707663884085,0.8132028191643856
distance,293.1,-0.0770135560586142,0.7606770650017095
distance,218.192,-0.04270595714987089,0.7228826599593249
distance,232.8822,-0.0485168992978161,0.730122656489354
distance,270.001,-0.07515132321497038,0.7551341756998317
distance,273.12,-0.10266596639332842,0.6677766391089482
distance,238.06,-0.07373057803435071,1.2415562417289403
chemical potential,220.0,-0.03394420317275511,2.4208214942948616
chemical potential,250.0,-0.040670996437189307,1.5657425670709146
chemical potential,293.1,0.015928114089355343,1.1940782318377834
chemical potential,218.192,-0.019940417333566444,3.360621835251667
chemical potential,232.8822,-0.04827591418693578,2.7588375684842807
chemical potential,270.001,-0.03573869599473879,1.2675797568957683
chemical potential,273.12,-0.07497416969220705,0.5398170158281215
chemical potential,238.06,-0.03133262904365771,2.472700534393547
pressure,220.0,-0.04624715618391025,8.215968627624644
pressure,250.0,-0.05801940429674329,3.8811552916909244
pressure,293.1,nan,nan
pressure,218.192,-0.038900965411670846,9.212390338223088
pressure,232.8822,-0.0497143587219511,7.982092139879171
pressure,270.001,nan,nan
pressure,273.12,-0.09791822144067096,1.2489451691108315
pressure,238.06,-0.05447856987926068,9.612879116788868
