Optimization type,Temperature_[K],kij,MARD_percentage
distance,85.0,-0.015142676672734659,1.2285333210816034
distance,115.012,-0.04366884760636999,0.48305553198075646
distance,95.008,-0.03472568999764979,1.1080655544931268
distance,105.01,-0.05207935970347085,0.6937879552545527
distance,125.0135,-0.011755776683398705,0.2712527749999589
chemical potential,85.0,0.003122876256958854,0.5928146194898846
chemical potential,115.012,-0.021507660101317237,0.2776697355584672
chemical potential,95.008,0.0016423201589734638,0.9527090665650945
chemical potential,105.01,-0.014882403120142176,0.41441840186758166
chemical potential,125.0135,0.003226375545854369,0.12664273627046269
pressure,85.0,0.0007284751686424425,6.164824054062994
pressure,115.012,nan,nan
pressure,95.008,-0.012758323667373788,6.764225592463989
pressure,105.01,-0.029300447636367594,4.952128848491214
pressure,125.0135,0.0032597066173882553,0.7623994127308918
