Optimization type,Temperature_[K],kij,MARD_percentage
distance,220.0,-0.1609992151150054,18.55698131068533
distance,225.0,-0.15184861202261313,15.93868486374819
distance,235.0,-0.15873509085257811,10.743417387865398
distance,245.0,-0.1864651509381508,3.3240457542913355
distance,250.0,-0.19031348616902566,7.789387993148786
distance,260.0,nan,nan
distance,270.0,nan,nan
distance,273.1,-0.10994913613714603,0.7196647171019995
distance,280.0,-0.2024797519665309,2.1035373180316808
distance,290.0,-0.16301512345843594,1.4225249810627454
chemical potential,220.0,-0.1755780993393099,6.571393810658849
chemical potential,225.0,-0.16319979815164382,6.041343120896613
chemical potential,235.0,-0.18986865487127116,5.155089223374786
chemical potential,245.0,-0.1780673408711519,0.369195026565082
chemical potential,250.0,-0.2215529514240094,4.3767617431012695
chemical potential,260.0,-0.2073947010522465,2.6891690472449223
chemical potential,270.0,-0.27696008722013926,2.9445767459426087
chemical potential,273.1,-0.17434577373276372,0.9269693671926829
chemical potential,280.0,-0.24382984750336914,1.0002059815094364
chemical potential,290.0,-0.24822469311371,0.9192691192280735
pressure,220.0,-0.1609992151150054,18.55698131068533
pressure,225.0,-0.15184861202261313,15.93868486374819
pressure,235.0,-0.15873509085257811,10.743417387865398
pressure,245.0,-0.1864651509381508,3.3240457542913355
pressure,250.0,-0.19031348616902566,7.789387993148786
pressure,260.0,nan,nan
pressure,270.0,nan,nan
pressure,273.1,-0.20066991937273224,2.332446618077177
pressure,280.0,nan,nan
pressure,290.0,nan,nan
