Optimization type,Temperature_[K],kij,MARD_percentage
distance,100.0,-0.011059009252937142,0.12546216504142801
distance,110.3111,-0.04635331187305718,0.6856451175914825
distance,90.798,-0.024737097605133443,1.1183354455665933
chemical potential,100.0,-0.010865416451628378,0.2750532126804735
chemical potential,110.3111,-0.022760620344447872,0.24133739191520898
chemical potential,90.798,0.005470702612043514,1.0220206658869346
pressure,100.0,-0.011326792740011776,1.6151836325470466
pressure,110.3111,nan,nan
pressure,90.798,-0.0009011283475512012,8.443647267919927
