Optimization type,Temperature_[K],kij,MARD_percentage
distance,256.4315,nan,nan
distance,277.6493,nan,nan
distance,300.0329,nan,nan
distance,227.9915,-0.03365521894616219,3.836412166987526
distance,200.161,-0.04158692111179531,3.491739419344584
global,256.4315,-0.003344993304307176,3.524764661530518
global,277.6493,-0.003344993304307176,3.6339981931432916
global,300.0329,-0.003344993304307176,4.10573327193963
global,227.9915,-0.003344993304307176,3.6175250794446665
global,200.161,-0.003344993304307176,3.6393497039916483
chemical potential,256.4315,0.14604612870509687,3.9764476567772986
chemical potential,277.6493,0.12385953410306295,4.129019576004996
chemical potential,300.0329,0.13765150116546476,2.5673958935007186
chemical potential,227.9915,0.1451977671828698,7.325034402956302
chemical potential,200.161,0.1370789653111205,12.362994210275565
pressure,256.4315,0.1421589969985203,4.8135500091247865
pressure,277.6493,0.12355241960390573,5.5143847640041255
pressure,300.0329,0.12356900838972515,2.8136100587109736
pressure,227.9915,0.14278393607282303,10.323436014570653
pressure,200.161,0.12115695661038291,35.005320675695295
