Optimization type,Temperature_[K],kij,MARD_percentage
distance,213.14,-0.014770795102767019,1.3732393842090378
distance,223.07,-0.02195171021622889,1.397565439577463
distance,233.32,-0.022439832856127617,0.9243123287166558
distance,238.03,-0.030630808472637723,1.1933411463657857
distance,243.12,-0.036229426643115965,1.4487346630516984
distance,253.28,-0.021429452009277143,0.6204803313321856
distance,263.13,-0.041742767116612796,0.9695822949553727
distance,273.26,-0.02636914106102973,0.598874917304088
distance,283.14,-0.015240036251383631,0.45018715872721926
chemical potential,213.14,-0.00016762023519430343,2.1242972815059535
chemical potential,223.07,0.01696423829376474,3.0742510719134186
chemical potential,233.32,0.00855504447326392,2.394332760763402
chemical potential,238.03,0.009188037049683614,2.6163755432345193
chemical potential,243.12,0.002364757457857459,1.6389609862326904
chemical potential,253.28,0.003375685353304985,1.3952961361497613
chemical potential,263.13,0.0029454510084005125,0.9863299023562686
chemical potential,273.26,0.003982791653350941,0.8340496825303276
chemical potential,283.14,0.012461995810325999,0.44911458866316095
pressure,213.14,-0.00966055230798928,11.048831805317667
pressure,223.07,-0.006245106178490079,13.585906615216526
pressure,233.32,-0.011881505737652707,7.809310719408283
pressure,238.03,-0.015894846301396752,8.651669765523192
pressure,243.12,-0.018670587019511308,7.809789579026185
pressure,253.28,-0.013142688101020152,3.985750855244357
pressure,263.13,nan,nan
pressure,273.26,-0.013800093928254523,1.883261696758811
pressure,283.14,-0.01183913426494393,0.5282357986088343
