Optimization type,Temperature_[K],kij,MARD_percentage
distance,90.0,0.010484030281839684,0.18680267375557244
distance,95.0194,0.010219549335134566,0.18470278639625168
distance,100.0179,0.010064871966501658,0.12028256415213731
distance,105.0152,0.009242323566241934,0.09763355333186031
distance,110.0102,0.008437857460387275,0.06795198311002801
distance,120.05,0.005451705958778361,0.19539301333974246
chemical potential,90.0,0.009209087318940068,0.26451506003642056
chemical potential,95.0194,0.008929348632302854,0.23008391011397253
chemical potential,100.0179,0.008710956948907757,0.19533114330662874
chemical potential,105.0152,0.008226796308505133,0.15972482176712038
chemical potential,110.0102,0.007804076664741371,0.1257017415881745
chemical potential,120.05,0.008846130784370809,0.17736247141459938
pressure,90.0,0.01013934076559786,0.34244151574269305
pressure,95.0194,0.009931237540487898,0.3447006213456046
pressure,100.0179,0.009855683401630386,0.22940969114199242
pressure,105.0152,0.009077983784880263,0.18823178912924446
pressure,110.0102,0.008319708562894424,0.12853756866964883
pressure,120.05,0.005406328215576516,0.34884612799347137
