Optimization type,Temperature_[K],kij,MARD_percentage
distance,100.11,-0.00628877892902699,0.14227376656906462
distance,110.02,-0.008528940171328943,0.13732335802921145
distance,120.62,-0.010705614830447617,0.15512002702974564
chemical potential,100.11,-0.007470444037148947,0.1476034428895744
chemical potential,110.02,-0.010235212647015428,0.1945391427193313
chemical potential,120.62,-0.010114571726166735,0.19678723886886684
pressure,100.11,-0.006175153597770369,0.3348780373020692
pressure,110.02,-0.008481995673987707,0.23464691596902068
pressure,120.62,-0.010292367410937737,0.23815474243310836
