Optimization type,Temperature_[K],kij,MARD_percentage
distance,164.0,0.010846263712212737,0.43384837236035806
distance,178.0,0.006735097893167255,0.5506525810444269
distance,123.05,0.02716633598350693,0.38315260416589764
distance,90.67,0.027471695212867346,0.13959925695106795
distance,115.77,0.02488777493558569,0.25113917964012217
chemical potential,164.0,0.02217913499472524,0.5510424756377358
chemical potential,178.0,0.030396726253634893,0.8474370766553281
chemical potential,123.05,0.027879240513087947,0.5648525755454266
chemical potential,90.67,0.026849979830429735,0.18583833037554906
chemical potential,115.77,0.02643362332122394,0.2860562071793818
pressure,164.0,0.009070478941008962,0.4905331961548636
pressure,178.0,nan,nan
pressure,123.05,0.028511569995278804,0.8075881979888764
pressure,90.67,0.027392256700838714,0.3366043451934605
pressure,115.77,0.025298756310929822,0.7645259272955607
