Optimization type,Temperature_[K],kij,MARD_percentage
distance,273.15,0.03496215396878694,0.2548622402130896
distance,258.41,0.031028559157087243,0.8836872681779722
distance,293.47,0.0378679408991756,0.6003897266571582
distance,313.02,0.03880430191708559,0.19999566671111413
chemical potential,273.15,0.03978483384240142,0.6267457252774344
chemical potential,258.41,0.038585809632693306,2.5251928368658394
chemical potential,293.47,0.040137570020528354,0.8800546058009279
chemical potential,313.02,0.039837725093811525,0.5939444695110805
pressure,273.15,0.036080182321134434,0.7041551487840673
pressure,258.41,0.034168727742894485,0.6716295419288377
pressure,293.47,0.03552611917619615,1.1180185914451957
pressure,313.02,0.03949607760754618,0.42006578573564907
