Optimization type,Temperature_[K],kij,MARD_percentage
distance,263.1524,0.06751564494883182,1.4393814945018881
distance,233.1577,nan,nan
distance,293.1454,0.07779130257478743,1.0082982871538275
chemical potential,263.1524,0.10188149696974125,3.4580131467218402
chemical potential,233.1577,0.08538572443903833,4.8656296516289315
chemical potential,293.1454,0.0937806732732338,3.4891792296295394
pressure,263.1524,0.08933794542383107,5.185230226331642
pressure,233.1577,0.07358259186077325,6.300245155539483
pressure,293.1454,0.07239814735586976,5.790968753964938
