Optimization type,Temperature_[K],kij,MARD_percentage
distance,92.3,0.07184316774386443,3.527196509216891
distance,100.0,0.06419270346551076,2.0431424961590166
distance,110.0,-0.008189583860617619,3.072029071512205
distance,120.0,-0.01911349413860274,1.7988234700093426
distance,130.0,-0.03177001120624333,1.5124676251381064
distance,140.0,-0.06507584922286172,1.4913224872632616
distance,150.0,-0.09880338813948308,1.9095070115429176
distance,159.2,-0.09310032228485905,0.90192765867886
distance,170.0,-0.10314073960226892,0.879426261282476
distance,180.0,-0.05812500059624723,1.4366373983871221
chemical potential,92.3,0.05376930305291015,2.690350290108403
chemical potential,100.0,0.044346566638671626,2.957690745388737
chemical potential,110.0,0.024779845173513948,2.2466623037873594
chemical potential,120.0,0.010010255690176167,2.1766178401118874
chemical potential,130.0,0.011541608816722426,2.4166296717004756
chemical potential,140.0,-0.009418907279846633,1.7400137651346756
chemical potential,150.0,0.0025528414992338805,2.2362418748699504
chemical potential,159.2,-0.03450213862172168,0.85816562647243
chemical potential,170.0,-0.040742639821175486,0.5457440341207187
chemical potential,180.0,0.01796856782442598,1.6105754830151642
pressure,92.3,0.07184316774386443,3.527196509216891
pressure,100.0,0.06419270346551076,2.0431424961590166
pressure,110.0,0.027106533909372704,10.882601465255652
pressure,120.0,0.012473859067153478,10.525998095723155
pressure,130.0,-0.0003033026128301641,8.69040793051412
pressure,140.0,-0.02286664233178266,8.882747777892716
pressure,150.0,-0.05008791800785953,8.792635008398374
pressure,159.2,-0.054614708630980204,5.399580950595187
pressure,170.0,nan,nan
pressure,180.0,-0.03147927277816456,2.493222181980528
