Optimization type,Temperature_[K],kij,MARD_percentage
distance,223.15,-0.10955255437415426,1.5655093918589449
distance,243.15,-0.11029287781903288,1.50725383524476
distance,263.15,-0.07551651364596597,0.8110489360261767
distance,283.15,-0.06213267805356283,0.7914120281448592
chemical potential,223.15,-0.06589819871737979,2.5785510587412306
chemical potential,243.15,-0.0467931161961383,3.181412395186341
chemical potential,263.15,-0.03155396892869948,2.298991638160417
chemical potential,283.15,0.001743048495420256,1.3744051504887889
pressure,223.15,-0.0857681797307049,10.408224110588584
pressure,243.15,-0.09102666965563289,8.447965955190876
pressure,263.15,-0.06520234031866497,3.873306521537529
pressure,283.15,-0.04855709298273198,1.5992817250728733
